No.,Layer (대분류),Category (중분류),Sub-category (소분류),회사명,구분,상장여부,HQ지역,Company Mission,한줄 설명 (비고),중요도
46,A. Physical Infrastructure,A2. Thermal Management,Liquid Cool,Iceotope,Liquid Cool,비상장,영국,Precision immersion cooling,정밀 액침 냉각(Precision Immersion) 기술 보유,Medium
47,A. Physical Infrastructure,A2. Thermal Management,Liquid Cool,GRC,Liquid Cool,비상장,미국,Single-phase immersion cooling,NVIDIA와 협력하는 단상 액침 냉각 표준화 기업,Medium
48,A. Physical Infrastructure,A2. Thermal Management,Liquid Cool,Accelsius,Liquid Cool,비상장,미국,Two-phase direct-to-chip cooling,2단계 다이렉트 투 칩 냉각 상용화 선두,Medium
49,A. Physical Infrastructure,A2. Thermal Management,Liquid Cool,Asperitas,Liquid Cool,비상장,네덜란드,Natural immersion cooling,에너지 효율 중심의 액침 냉각 모듈 전문,Low
50,A. Physical Infrastructure,A2. Thermal Management,Liquid Cool,DCX,Liquid Cool,비상장,폴란드,Hot water cooling distribution,8MW급 온수 냉각 배분 장치(FDU) 개발 혁신,Low
51,A. Physical Infrastructure,A2. Thermal Management,Liquid Cool,Motivair,Liquid Cool,비상장,미국,High-density cooling solutions,고밀도 AI 워크로드용 ChilledDoor 냉각 솔루션,Medium
52,A. Physical Infrastructure,A2. Thermal Management,Liquid Cool,JetCool Technologies,Liquid Cool,비상장,미국,Microjet-based chip cooling,마이크로제트 기반 초고밀도 칩 냉각 기술,Medium
53,A. Physical Infrastructure,A2. Thermal Management,Liquid Cool,ZutaCore,Liquid Cool,비상장,이스라엘,Direct-on-chip two-phase cooling,다이렉트-온-칩 2상 액체 냉각 기술 보유,Medium
54,A. Physical Infrastructure,A2. Thermal Management,Liquid Cool,LiquidCool Solutions,Liquid Cool,비상장,미국,Full server immersion cooling,서버 내부 완전 액침 냉각 기술 특화,Low
55,A. Physical Infrastructure,A2. Thermal Management,Thermal/Cool,Modine (Airedale),Thermal/Cool,상장,미국/영국,Engineering a cleaner world,AI 전용 고효율 칠러 및 수냉 솔루션,Medium
56,A. Physical Infrastructure,A2. Thermal Management,Thermal/Cool,Daikin Applied,Thermal/Cool,상장,일본/미국,Perfecting the air,Chilldyne 인수로 수냉식 냉각 포트폴리오 강화,Medium
57,A. Physical Infrastructure,A2. Thermal Management,Thermal/Cool,Trane Technologies,Thermal/Cool,상장,미국,Challenging what's possible for a sustainable world,대형 DC 칠러 및 HVAC 시스템 글로벌 리더,High
58,A. Physical Infrastructure,A2. Thermal Management,Thermal/Cool,Carrier Global,Thermal/Cool,상장,미국,Creating solutions for the built environment,상업/산업용 냉각 시스템 및 DC 공조 솔루션,Medium
59,A. Physical Infrastructure,A2. Thermal Management,Thermal/HVAC,Stulz,Thermal/HVAC,비상장,독일,Precision air conditioning,정밀 냉각 시스템 및 특수 공조 솔루션 강자,Medium
60,A. Physical Infrastructure,A2. Thermal Management,Thermal/HVAC,Munters,Thermal/HVAC,상장,스웨덴,Making air work for our customers,고효율 냉각 및 증발식 가습 제어 솔루션,Medium
61,A. Physical Infrastructure,A2. Thermal Management,Thermal/HVAC,Nortek Air,Thermal/HVAC,비상장,미국,Custom HVAC for data centers,대형 DC용 맞춤형 공조 솔루션(StatePoint) 제공,Medium
62,A. Physical Infrastructure,A2. Thermal Management,Thermal/Rack,Rittal,Thermal/Rack,비상장,독일,The system for faster solutions,DC 랙 및 통합 인프라 냉각 유럽 1위,Medium
63,A. Physical Infrastructure,A2. Thermal Management,Thermal/Rack,Nvent Electric,Thermal/Rack,상장,미국,Connecting and protecting power,랙 레벨 냉각 및 전력 관리 인프라 전문,Medium
64,A. Physical Infrastructure,A2. Thermal Management,Thermal/Exch,Alfa Laval,Thermal/Exch,상장,스웨덴,Advancing better conditions for people and planet,DC 열교환기 및 에너지 효율화 부품 글로벌 리더,Medium
65,A. Physical Infrastructure,A2. Thermal Management,Thermal/Exch,Kelvion,Thermal/Exch,비상장,독일,Heat exchange solutions,고성능 열교환 시스템 및 냉각 타워 전문,Low
66,A. Physical Infrastructure,A2. Thermal Management,Thermal/Exch,Guntner,Thermal/Exch,비상장,독일,Heat exchange technology for cooling,세계 최대 규모의 증발식 냉각기 및 교환기 공급,Low
67,A. Physical Infrastructure,A2. Thermal Management,Thermal/Comp,Danfoss,Thermal/Comp,비상장,덴마크,Engineering tomorrow's energy solutions,냉각 장치 핵심 부품 및 에너지 관리 밸브 주도,Medium
68,A. Physical Infrastructure,A2. Thermal Management,Thermal/Opt,Inviscid AI,Thermal/Opt,비상장,미국,Physics-based AI for DC cooling optimization,물리학 기반 AI를 활용한 DC 기류/냉각 최적화,Low
69,A. Physical Infrastructure,A2. Thermal Management,Thermal/Mgmt,Boyd Corporation,Thermal/Mgmt,비상장,미국,Thermal management materials and systems,열 관리 소재 및 액체 냉각 시스템 통합 공급,Medium
70,A. Physical Infrastructure,A2. Thermal Management,Thermal/Cool,Panasonic HVAC,Thermal/Cool,상장,일본,"A better life, a better world",유럽향 AI DC 전용 CDU 및 냉각 시스템 출시,Medium
71,A. Physical Infrastructure,A2. Thermal Management,Thermal/Cool,AERMEC,Thermal/Cool,비상장,이탈리아,Climate control solutions,유럽 시장향 고성능 칠러 및 정밀 냉각기 제조,Low
72,A. Physical Infrastructure,A2. Thermal Management,Thermal/Cool,HiRef,Thermal/Cool,비상장,이탈리아,IT cooling solutions,고효율 DC 공조 및 IT 냉각 시스템 특화,Low
73,A. Physical Infrastructure,A2. Thermal Management,Thermal/HVAC,FlaktGroup,Thermal/HVAC,비상장,독일,Indoor air quality solutions,DC용 환기 및 공기 정화 솔루션 전문,Low
74,A. Physical Infrastructure,A2. Thermal Management,Thermal/EPC,Mace,Thermal/EPC,상장,영국,Shaping connected cities,유럽 대형 DC 냉각 인프라 통합 구축 전문,Low
75,A. Physical Infrastructure,A2. Thermal Management,Thermal/EPC,Starching,Thermal/EPC,비상장,이탈리아,DC precision cooling engineering,DC 정밀 냉각 설계 및 시공 엔지니어링,Low
76,A. Physical Infrastructure,A3. DC Design & EPC,EPC/Construction,Equans,EPC/Construction,상장,프랑스,Connecting performance and responsibility,유럽 전역 DC 설계/시공 및 에너지 관리 리더,High
77,A. Physical Infrastructure,A3. DC Design & EPC,EPC/Design,AECOM,EPC/Design,상장,미국,Delivering a better world,"글로벌 11GW 이상 수행, 대규모 DC 구축",High
78,A. Physical Infrastructure,A3. DC Design & EPC,EPC/Design,Jacobs,EPC/Design,상장,미국,Challenging today. Reinventing tomorrow,AI 팩토리 디지털 트윈 설계 및 엔지니어링 1위,High
79,A. Physical Infrastructure,A3. DC Design & EPC,EPC/Construction,Fluor,EPC/Construction,상장,미국,Building a better world,모듈러 DC 구축 및 초대형 프로젝트 글로벌 표준,High
80,A. Physical Infrastructure,A3. DC Design & EPC,EPC/Construction,DPR Construction,EPC/Construction,비상장,미국,We exist to build great things,기술 중심 시공으로 빅테크 DC 선호도 높음,High
81,A. Physical Infrastructure,A3. DC Design & EPC,EPC/Construction,Turner Construction,EPC/Construction,상장,미국,Building the future,하이퍼스케일 DC 구축 리더 (Vantage 등 협력),High
82,A. Physical Infrastructure,A3. DC Design & EPC,EPC/Construction,Hensel Phelps,EPC/Construction,비상장,미국,Building what matters,빅테크 DC 구축 경험 풍부한 종합 건설사,Medium
83,A. Physical Infrastructure,A3. DC Design & EPC,EPC/Construction,Holder Construction,EPC/Construction,비상장,미국,Building with purpose,미국 내 대형 DC 시공 프로젝트 다수 수행,Medium
84,A. Physical Infrastructure,A3. DC Design & EPC,EPC/Design,Exyte,EPC/Design,비상장,독일,Engineering your future,반도체 팹 및 클린룸 기술 기반 정밀 DC 구축,Medium
85,A. Physical Infrastructure,A3. DC Design & EPC,EPC/Construction,Mercury Engineering,EPC/Construction,비상장,아일랜드,Excellence in engineering,유럽 최대 DC 특화 시공 및 전기 설비 전문,Medium
86,A. Physical Infrastructure,A3. DC Design & EPC,EPC/Construction,Skanska,EPC/Construction,상장,스웨덴,Building what matters,지속가능한 DC 구축 및 저탄소 시공 선두,Medium
87,A. Physical Infrastructure,A3. DC Design & EPC,EPC/Construction,Bouygues Construction,EPC/Construction,상장,프랑스,Building the future,유럽 내 고성능 DC 물리 인프라 구축 핵심,Medium
88,A. Physical Infrastructure,A3. DC Design & EPC,EPC/Design,Sweco,EPC/Design,상장,스웨덴,Transforming society together,유럽 시장 규제 및 에너지 최적화 설계 전문,Medium
89,A. Physical Infrastructure,A3. DC Design & EPC,EPC/Design,Arup,EPC/Design,비상장,영국,Shaping a better world,데이터센터 구조 설계 및 지속가능성 컨설팅,Medium
90,A. Physical Infrastructure,A3. DC Design & EPC,EPC/Design,Gensler,EPC/Design,비상장,미국,Design for the human experience,DC 건축 디자인 및 공간 데이터 최적화,Medium
91,A. Physical Infrastructure,A3. DC Design & EPC,EPC/Design,Corgan,EPC/Design,비상장,미국,Architecture that makes a difference,DC 전문 건축 설계 및 마스터플래닝,Medium
92,A. Physical Infrastructure,A3. DC Design & EPC,EPC/Design,HDR,EPC/Design,비상장,미국,We believe great things are possible,DC 및 미션크리티컬 시설 MEP 설계 전문,Medium
93,A. Physical Infrastructure,A3. DC Design & EPC,EPC/Construction,HITT Contracting,EPC/Construction,비상장,미국,Building with integrity,모듈형 DC 및 신속 구축 솔루션 강점,Low
94,A. Physical Infrastructure,A3. DC Design & EPC,EPC/Electric,Kirby Group,EPC/Electric,비상장,아일랜드,Engineering excellence,유럽 DC 전력 설비 및 기계 시공 전문,Low
95,A. Physical Infrastructure,A3. DC Design & EPC,EPC/Design,PM Group,EPC/Design,비상장,아일랜드,Engineering a better future,DC 및 첨단 제조 시설 프로젝트 관리 선두,Low
96,A. Physical Infrastructure,A3. DC Design & EPC,EPC/Design,Artelia,EPC/Design,비상장,프랑스,Architecture and engineering services,대규모 DC 자산 관리 및 구축 지원 전문,Low
97,A. Physical Infrastructure,A3. DC Design & EPC,EPC/Design,Build,EPC/Design,비상장,미국,AI-native data center design,AI 네이티브 DC 전문 설계 및 컨설팅,Low
98,A. Physical Infrastructure,A3. DC Design & EPC,EPC/Cost,Linesight,EPC/Cost,비상장,아일랜드,DC cost management consulting,DC 구축 비용 관리 및 글로벌 공급망 컨설팅,Low
99,A. Physical Infrastructure,A3. DC Design & EPC,EPC/Construction,Designer Group,EPC/Construction,비상장,아일랜드,Engineering services,대형 DC 전기 및 기계 엔지니어링 서비스,Low
100,A. Physical Infrastructure,A3. DC Design & EPC,EPC/Design,CapIngelec,EPC/Design,비상장,프랑스,Turnkey DC solutions,DC 턴키 구축 및 인프라 현대화 솔루션,Low
101,A. Physical Infrastructure,A3. DC Design & EPC,EPC/Design,Future-tech,EPC/Design,비상장,영국,DC feasibility and design,DC 타당성 조사 및 특수 설계 전문,Low
102,A. Physical Infrastructure,A3. DC Design & EPC,EPC/Construction,Sto Building Group,EPC/Construction,비상장,미국,High-performance construction,고성능 DC 인프라 시공 및 관리,Low
103,B. Semiconductor & Components,B1. Semiconductor Equipment & EDA,Litho Equipment,ASML,Litho Equipment,상장,네덜란드,Unlocking the potential of people and society,"EUV 노광 장비 독점, AI 칩 미세공정 핵심 인프라",High
104,B. Semiconductor & Components,B1. Semiconductor Equipment & EDA,Depo/Etch,Applied Materials,Depo/Etch,상장,미국,Make possible the technology shaping the future,"반도체 증착/식각 장비 세계 1위, HBM/GAA 수혜",High
105,B. Semiconductor & Components,B1. Semiconductor Equipment & EDA,Etch/Depo,Lam Research,Etch/Depo,상장,미국,Enabling chipmakers to shape the future,"식각 장비 글로벌 1위, 3D NAND/HBM TSV 핵심",High
106,B. Semiconductor & Components,B1. Semiconductor Equipment & EDA,Coater/Etch,Tokyo Electron,Coater/Etch,상장,일본,Contribute to technological innovation,코터/현상기 및 식각 장비 일본 1위,High
107,B. Semiconductor & Components,B1. Semiconductor Equipment & EDA,Inspection,KLA Corporation,Inspection,상장,미국,Advancing humanity through semiconductor technology,반도체 결함 검사/계측 장비 독보적 1위,High
108,B. Semiconductor & Components,B1. Semiconductor Equipment & EDA,EDA/IP,Synopsys,EDA/IP,상장,미국,Advancing the world of chip design,"칩 설계 자동화(EDA) 글로벌 1위, AI 칩 설계 필수",High
109,B. Semiconductor & Components,B1. Semiconductor Equipment & EDA,EDA/IP,Cadence Design,EDA/IP,상장,미국,Enabling electronic system innovation,칩 설계 검증 및 시뮬레이션 EDA 2위,High
110,B. Semiconductor & Components,B1. Semiconductor Equipment & EDA,Simulation,Ansys,Simulation,상장,미국,Power the breakthroughs that drive human advancement,"Synopsys 인수, 열/전력/구조 시뮬레이션 통합",High
111,B. Semiconductor & Components,B1. Semiconductor Equipment & EDA,Bonding,BE Semiconductor,Bonding,상장,네덜란드,Connecting the world's electronics,"하이브리드 본딩 장비 선두, HBM/칩렛 핵심",High
112,B. Semiconductor & Components,B1. Semiconductor Equipment & EDA,Test,Advantest,Test,상장,일본,Enabling leading-edge technologies,"반도체 테스트 장비 글로벌 1위, HBM 테스트 수요 급증",High
113,B. Semiconductor & Components,B1. Semiconductor Equipment & EDA,Test,Teradyne,Test,상장,미국,Accelerating innovation,반도체 자동 테스트 장비(ATE) 2위,High
114,B. Semiconductor & Components,B1. Semiconductor Equipment & EDA,Dicing,Disco Corporation,Dicing,상장,일본,The cutting and grinding company,웨이퍼 다이싱/그라인딩 장비 세계 1위,Medium
115,B. Semiconductor & Components,B1. Semiconductor Equipment & EDA,Cleaning,SCREEN Holdings,Cleaning,상장,일본,Pioneering precision technology,웨이퍼 세정 장비 및 직접 묘화 장비 강자,Medium
116,B. Semiconductor & Components,B1. Semiconductor Equipment & EDA,Deposition,Kokusai Electric,Deposition,상장,일본,Batch deposition solutions,배치식 CVD/ALD 장비 전문,Medium
117,B. Semiconductor & Components,B1. Semiconductor Equipment & EDA,Mask Inspect,Lasertec,Mask Inspect,상장,일본,Photomask inspection technology,EUV 마스크 결함 검사 장비 독점적 지위,Medium
118,B. Semiconductor & Components,B1. Semiconductor Equipment & EDA,Inspection,Onto Innovation,Inspection,상장,미국,Advanced packaging inspection,어드밴스드 패키징 검사/계측 장비,Medium
119,B. Semiconductor & Components,B1. Semiconductor Equipment & EDA,Materials,Entegris,Materials,상장,미국,"Purify, protect, and transport critical materials",반도체 공정용 특수 소재/필터/화학 공급 리더,High
120,B. Semiconductor & Components,B1. Semiconductor Equipment & EDA,Test/Handler,Cohu,Test/Handler,상장,미국,Semiconductor test solutions,반도체 테스트 핸들러 및 인터페이스 전문,Low
121,B. Semiconductor & Components,B1. Semiconductor Equipment & EDA,IP/Architecture,Arm Holdings,IP/Architecture,상장,영국,Computing for a sustainable future,AI 칩 CPU/NPU 아키텍처 IP 라이선싱 지배,High
122,B. Semiconductor & Components,B1. Semiconductor Equipment & EDA,IP/GPU,Imagination Tech,IP/GPU,비상장,영국,GPU and AI IP solutions,모바일/엣지 GPU IP 및 AI 가속기 IP 보유,Medium
123,B. Semiconductor & Components,B1. Semiconductor Equipment & EDA,SiC Wafer,Wolfspeed,SiC Wafer,상장,미국,Silicon carbide semiconductor leader,실리콘카바이드(SiC) 웨이퍼 및 파워 반도체 선두,Medium
124,B. Semiconductor & Components,B2. Compute & Silicon,GPU,NVIDIA,GPU,상장,미국,Computing technology for the age of AI,"AI 가속기 시장 80%+ 점유, Blackwell/Rubin 아키텍처",High
125,B. Semiconductor & Components,B2. Compute & Silicon,GPU/CPU,AMD,GPU/CPU,상장,미국,High-performance and adaptive computing,"MI300X/MI400 통해 NVIDIA 대항마, ZT Systems 인수",High
126,B. Semiconductor & Components,B2. Compute & Silicon,CPU/ASIC,Intel,CPU/ASIC,상장,미국,Creating world-changing technology,"Gaudi 3 가속기 및 AI PC, 파운드리 분사 추진",High
127,B. Semiconductor & Components,B2. Compute & Silicon,ASIC/Net,Broadcom,ASIC/Net,상장,미국,Connecting everything,Google TPU 공동 개발 및 AI 네트워킹 리더,High
128,B. Semiconductor & Components,B2. Compute & Silicon,Mobile AP,Qualcomm,Mobile AP,상장,미국,Inventing breakthrough technologies,Snapdragon X Elite 기반 온디바이스 AI 리더,High
129,B. Semiconductor & Components,B2. Compute & Silicon,Mobile AP,MediaTek,Mobile AP,상장,대만,Everyday genius,Dimensity 시리즈 AI 가속 및 엣지 AI SoC,Medium
130,B. Semiconductor & Components,B2. Compute & Silicon,Custom SoC,Apple,Custom SoC,상장,미국,Think different,M시리즈/A시리즈 Neural Engine 기반 온디바이스 AI,High
131,B. Semiconductor & Components,B2. Compute & Silicon,Custom ASIC,Google (TPU),Custom ASIC,상장,미국,Organize the world's information,TPU v5p/Trillium 자체 AI 학습/추론 가속기,High
132,B. Semiconductor & Components,B2. Compute & Silicon,Custom ASIC,Amazon (Trainium),Custom ASIC,상장,미국,Earth's most customer-centric company,Trainium2/Inferentia 자체 AI 칩 개발,High
133,B. Semiconductor & Components,B2. Compute & Silicon,Custom ASIC,Microsoft (Maia),Custom ASIC,상장,미국,Empower every person and organization,"Maia 100 자체 AI 가속기, Azure 전용",High
134,B. Semiconductor & Components,B2. Compute & Silicon,Custom ASIC,Meta (MTIA),Custom ASIC,상장,미국,Building the future of connection,"MTIA 자체 추론 가속기, 광고/추천 최적화",High
135,B. Semiconductor & Components,B2. Compute & Silicon,WSE,Cerebras Systems,WSE,상장예정,미국,Accelerating AI compute,"세계 최대 크기 CS-3 칩, 거대 모델 학습",High
136,B. Semiconductor & Components,B2. Compute & Silicon,LPU,Groq,LPU,비상장,미국,Fast AI inference,"초고속 추론 엔진, 지연 시간 극단적 단축",High
137,B. Semiconductor & Components,B2. Compute & Silicon,RISC-V AI,Tenstorrent,RISC-V AI,비상장,캐나다,Open-source AI hardware,"Jim Keller 설립, 개방형 아키텍처 및 라이선싱",High
138,B. Semiconductor & Components,B2. Compute & Silicon,IPU,Graphcore,IPU,인수예정,영국,AI processors for the age of ML,"SoftBank 인수 추진 중, 독자적 AI 프로세서",Medium
139,B. Semiconductor & Components,B2. Compute & Silicon,RDU,SambaNova,RDU,비상장,미국,Full-stack AI platform,"가변형 데이터플로우 시스템, 대형 모델 학습",Medium
140,B. Semiconductor & Components,B2. Compute & Silicon,NPU,FuriosaAI,NPU,비상장,한국,Next-gen AI accelerators,추론용 RNGD 칩으로 글로벌 벤치마크 석권,High
141,B. Semiconductor & Components,B2. Compute & Silicon,NPU,Rebellions,NPU,비상장,한국,AI chip for everyone,사피온 합병 후 REBEL 시리즈로 확장,Medium
142,B. Semiconductor & Components,B2. Compute & Silicon,Edge AI,Axelera AI,Edge AI,비상장,네덜란드,AI everywhere with edge accelerators,"Europa 칩 629 TOPS, $370M+ 투자 유치",High
143,B. Semiconductor & Components,B2. Compute & Silicon,Edge NPU,Hailo,Edge NPU,비상장,이스라엘,AI processing for edge devices,"엣지 AI 프로세서 리더, 26 TOPS at 2.5W, $1.2B 기업가치",High
